aw_deep_link,product_name,aw_product_id,merchant_product_id,merchant_image_url,description,merchant_category,search_price,merchant_name,merchant_id,category_name,category_id,aw_image_url,currency,store_price,delivery_cost,merchant_deep_link,language,last_updated,display_price,data_feed_id
http://www.awin1.com/pclick.php?p=3854300647&a=295295&m=6901,"TV LED 78'' 4K UHD incurvé Smart TV Samsung UE78KU6500   Nvidia Shield ATV",3854300647,RSYS:9:4985713,http://s1.static69.com/hifi/images/../../images/bundles/large/BUN47429.jpg,"TV LED 78 pouces &nbsp; 198 cm   &nbsp;4K UHD   Incurv&eacute;e   Smart TV","TV et Lecteurs DVD / TV LED / TV LED de 50'' et plus",3990.00,"Rue du Commerce FR",6901,,0,http://images.productserve.com/noimage.gif?i=295295,EUR,,19.99,http://www.awin1.com/pclick.php?p=3854300647&a=295295&m=6901,fr,,EUR3990.00,16437
http://www.awin1.com/pclick.php?p=3863142037&a=295295&m=6901,"Tondeuse multi usage NRMG14 17",3863142037,MP-01117M28310464,//dam-static.rueducommerce.fr/medias/5494b6539b2239e2aa6431efea44fa5a/p_150x150/nrmg14-17-4.jpg,"Brosse de nettoyage","Electroménager / Epilation & rasage / Tondeuse",24.99,"Rue du Commerce FR",6901,,0,http://images.productserve.com/noimage.gif?i=295295,EUR,,6.99,http://www.awin1.com/pclick.php?p=3863142037&a=295295&m=6901,fr,,EUR24.99,16437
http://www.awin1.com/pclick.php?p=4731510553&a=295295&m=6901,"TV LED 55'' 4K UHD Curved Smart TV Samsung UE55KU6640   Console PS4 1To   Manette Dualshock 4 Noire V2   Casque TRITTON Kama",4731510553,RSYS:9:4985798,http://s1.static69.com/hifi/images/../../images/bundles/large/BUN47332.jpg,"TV LED 55 pouces   4K UHD   incurv&eacute;e   Smart TV   Wifi.","TV et Lecteurs DVD / TV LED / TV LED de 50'' et plus",1249.99,"Rue du Commerce FR",6901,,0,http://images.productserve.com/noimage.gif?i=295295,EUR,,19.99,http://www.awin1.com/pclick.php?p=4731510553&a=295295&m=6901,fr,,EUR1249.99,16437
http://www.awin1.com/pclick.php?p=3863142029&a=295295&m=6901,"Rasoir électrique ProTouch NRMS13 17",3863142029,MP-01117M28310466,//dam-static.rueducommerce.fr/medias/f360aab10c3d3a0f9289ca658c20642f/p_150x150/nrms13-17-3.jpg,"Utilisation avec ou sans fil","Electroménager / Epilation & rasage / Rasoir électrique",39.99,"Rue du Commerce FR",6901,,0,http://images.productserve.com/noimage.gif?i=295295,EUR,,6.99,http://www.awin1.com/pclick.php?p=3863142029&a=295295&m=6901,fr,,EUR39.99,16437
http://www.awin1.com/pclick.php?p=3856782099&a=295295&m=6901,"Barre de son 2.1   SJ3",3856782099,RSYS:9:4985905,http://s1.static69.com/hifi/images/produits/large/f741b966848e3ccba9e2aec8de3fd580.jpg,"Puissance sonore 300W 2.1CH   Bluetooth   Sound Sync Wireless   Caisson de basses sans fil","TV et Lecteurs DVD / Home-cinéma / Barre de son",179.90,"Rue du Commerce FR",6901,,0,http://images.productserve.com/noimage.gif?i=295295,EUR,,6.99,http://www.awin1.com/pclick.php?p=3856782099&a=295295&m=6901,fr,,EUR179.90,16437
http://www.awin1.com/pclick.php?p=3799386121&a=295295&m=6901,"Soutien gorge nude invisible sans armature nude Support",3799386121,MP-01218M27318094,//dam-static.rueducommerce.fr/medias/e3f75cece224386e940d96bb85943ceb/p_150x150/027k-sg-sa-nude-face.jpg,"Soutien gorge nude invisible sans armature nude Support.Technologie d'encollage Magic Galbe : maintien parfait.Composition : 72% Polyamide, 28% Elasthanne.Lavage &agrave; la machine 30&deg; maximum / S&egrave;che linge interdit / Chlorage interdit / Pas de repassage, ni de vapeur / Aucun nettoyage &agrave; sec possible.","Mode Femme / Lingerie / Soutien-gorges",33.90,"Rue du Commerce FR",6901,,0,http://images.productserve.com/noimage.gif?i=295295,EUR,,6.99,http://www.awin1.com/pclick.php?p=3799386121&a=295295&m=6901,fr,,EUR33.90,16437
http://www.awin1.com/pclick.php?p=3856782103&a=295295&m=6901,"TV LED 43  108cm    43LH604V",3856782103,RSYS:9:4985911,http://s1.static69.com/hifi/images/produits/large/102d5cbb22553d1394c5691997df4832.jpg,"Optez pour la qualit&eacute; avec ce t&eacute;l&eacute;viseur LED sign&eacute; LG ! D'une taille de 108 cm, il est dot&eacute; de la fonction Smart TV  webOS 3.0 .","TV et Lecteurs DVD / TV LED / TV LED de 40'' à 45''",499.00,"Rue du Commerce FR",6901,,0,http://images.productserve.com/noimage.gif?i=295295,EUR,,14.99,http://www.awin1.com/pclick.php?p=3856782103&a=295295&m=6901,fr,,EUR499.00,16437
http://www.awin1.com/pclick.php?p=3839809199&a=295295&m=6901,"String new skin Invisi Fit seconde peau",3839809199,MP-013F5M27486426,//dam-static.rueducommerce.fr/medias/0814b9f97e533759a9338b91d595b38f/p_150x150/03ap-string-new-skin-face.jpg,"String new skin Invisi Fit seconde peauTotale invisibilit&eacute; au porter.Composition : 88% Polyamide, 12% Elasthanne.Lavage &agrave; la machine 30&deg; maximum / S&egrave;che linge interdit / Chlorage interdit / Pas de repassage, ni de vapeur / Aucun nettoyage &agrave; sec possible","Mode Femme / Lingerie / Strings, tangas",11.90,"Rue du Commerce FR",6901,,0,http://images.productserve.com/noimage.gif?i=295295,EUR,,6.99,http://www.awin1.com/pclick.php?p=3839809199&a=295295&m=6901,fr,,EUR11.90,16437
http://www.awin1.com/pclick.php?p=3856782101&a=295295&m=6901,"Barre de son 2.1   SJ5",3856782101,RSYS:9:4985913,http://s1.static69.com/hifi/images/produits/large/8d7722b18a0f3464a1c34319adac6cb9.jpg,"Puissance sonore 320W 2.1CH   Bluetooth   Entr&eacute;e/Sortie HDMI   Son Haute R&eacute;solution","TV et Lecteurs DVD / Home-cinéma / Barre de son",299.90,"Rue du Commerce FR",6901,,0,http://images.productserve.com/noimage.gif?i=295295,EUR,,6.99,http://www.awin1.com/pclick.php?p=3856782101&a=295295&m=6901,fr,,EUR299.90,16437
http://www.awin1.com/pclick.php?p=6074281205&a=295295&m=6901,"Top Dance Just Dance   BUZ004TO",6074281205,MP-016D9M25691766,//dam-static.rueducommerce.fr/medias/f76f24f605433281b6b49168adbd0853/p_150x150/891f1d1cffbe3c10bb2a6f1eb9601368.jpg,"Top Dance Just DanceVivez l'exp&eacute;rience Just Dance avec le jeu de soci&eacute;t&eacute; !D&eacute;riv&eacute; du jeu vid&eacute;o de danse n&deg;1 dans le monde avec plus de 100 millions de joueurs 120 cartes &agrave; jouer qui repr&eacute;sentent 60 coaches Just Dance La convivialit&eacute; et le fun qui r&eacute;unit tous les &acirc;ges autour de la dansePlaylist conseill&eacute;e de 72 hits Just DancePiochez une carte et dansez la chor&eacute;graphie indiqu&eacute;e au rythme de la musique pour la faire deviner aux autres3 exp&eacute;riences de jeu diff&eacute;rentes : Concours, Collectif, Performance","Jeux & Jouets / Jeux de société / Jeux de stratégie",16.02,"Rue du Commerce FR",6901,,0,http://images.productserve.com/noimage.gif?i=295295,EUR,,6.99,http://www.awin1.com/pclick.php?p=6074281205&a=295295&m=6901,fr,,EUR16.02,16437
http://www.awin1.com/pclick.php?p=3860733707&a=295295&m=6901,"TV LED 55  139cm    55PUH6101",3860733707,RSYS:9:4993559,http://s1.static69.com/hifi/images/produits/large/e806355944b538229dcb62864efd3a4e.jpg,"T&eacute;l&eacute;viseur LED Smart&nbsp;TV ultra plat 4K  avec Pixel&nbsp;Plus&nbsp;Ultra&nbsp;HD    139&nbsp;cm  55   T&eacute;l&eacute;viseur LED 4K Ultra&nbsp;HD  Dual Core  DVB T/C","TV et Lecteurs DVD / TV LED / TV LED de 50'' et plus",699.00,"Rue du Commerce FR",6901,,0,http://images.productserve.com/noimage.gif?i=295295,EUR,,14.99,http://www.awin1.com/pclick.php?p=3860733707&a=295295&m=6901,fr,,EUR699.00,16437
