what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.intro,3.4.0.v20100427,"org.eclipse.ui.intro",1488402890959
started,bundle,org.eclipse.ui.intro.universal,3.2.402.r36_v20100702,"org.eclipse.ui.intro.universal",1488402890959
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1488402890959
started,bundle,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views",1488402890959
started,bundle,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"org.eclipse.ui.workbench",1488402890960
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1488402890961
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1488402890962
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1488402890963
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1488402890963
started,bundle,org.eclipse.wst.jsdt.core,1.1.4.v201102102045,"org.eclipse.wst.jsdt.core",1488402890973
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.200.v201004150600,"org.eclipse.wst.jsdt.manipulation",1488402890974
started,bundle,org.eclipse.wst.jsdt.ui,1.1.4.v201102160540,"org.eclipse.wst.jsdt.ui",1488402890975
started,bundle,org.eclipse.wst.sse.core,1.1.504.v201102160550,"org.eclipse.wst.sse.core",1488402890975
started,bundle,org.eclipse.wst.sse.ui,1.2.3.v201102102045,"org.eclipse.wst.sse.ui",1488402890976
os,sysinfo,,,"linux",1488402890979
arch,sysinfo,,,"x86_64",1488402890979
ws,sysinfo,,,"gtk",1488402890979
locale,sysinfo,,,"en_US",1488402890980
processors,sysinfo,,,"2",1488402890980
java.runtime.name,sysinfo,,,"OpenJDK Runtime Environment",1488402890980
java.runtime.version,sysinfo,,,"1.8.0_121-8u121-b13-0ubuntu1.16.04.2-b13",1488402890980
java.specification.name,sysinfo,,,"Java Platform API Specification",1488402890980
java.specification.vendor,sysinfo,,,"Oracle Corporation",1488402890980
java.specification.version,sysinfo,,,"1.8",1488402890980
java.vendor,sysinfo,,,"Oracle Corporation",1488402890980
java.version,sysinfo,,,"1.8.0_121",1488402890980
java.vm.info,sysinfo,,,"mixed mode",1488402890980
java.vm.name,sysinfo,,,"OpenJDK 64-Bit Server VM",1488402890980
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1488402890980
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1488402890980
java.vm.specification.version,sysinfo,,,"1.8",1488402890980
java.vm.vendor,sysinfo,,,"Oracle Corporation",1488402890980
java.vm.version,sysinfo,,,"25.121-b13",1488402890980
activated,view,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.ui.explorer",1488402891150
activated,view,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.ui.explorer",1488402891264
closed,view,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.internal.introview",1488402891300
